feature1,feature2
"I love this product, it works great!",positive
"This is the worst purchase I've ever made.",negative
"Amazing quality and fast delivery.",positive
"Totally disappointed, waste of money.",negative
"Highly recommend to everyone!",positive
"Not what I expected, very poor build.",negative
"Excellent customer service and great value.",positive
"Broke after a week, terrible experience.",negative
"Very happy with this, would buy again.",positive
"Does not work as described, very frustrating.",negative
"Best investment I have made!",positive
"Cheap materials and stopped working.",negative
"Superb performance, exceeded expectations.",positive
"Regret buying this, complete disaster.",negative
"Fantastic product, five stars!",positive
"Arrived damaged, horrible service.",negative
